                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.48873,                0.48277,                0.52238,                0.93721,                0.88271,                0.89233,                0.89584,                 0.7985,                0.88866,                0.89714,                 0.9003,                0.73827,                 0.4919,                0.34811,                0.55498,                0.86808,               0.004357,               0.004357,               0.004357
                     60,                 0.4699,                  0.499,                0.50447,                0.92598,                0.87206,                0.90555,                0.90155,                0.80274,                0.88047,                0.91714,                 0.9067,                0.75027,                 0.5016,                0.35373,                0.54093,                0.87742,               0.004258,               0.004258,               0.004258
                     61,                0.47505,                0.50706,                0.50651,                0.93688,                0.87235,                0.88838,                0.89432,                0.79117,                0.87002,                0.91143,                0.89974,                  0.728,                0.48388,                0.38289,                0.52906,                 0.8596,               0.004159,               0.004159,               0.004159
                     62,                0.47838,                0.50706,                0.51522,                0.92887,                0.87678,                0.90143,                0.89929,                0.79975,                0.88526,                   0.91,                0.90211,                0.73746,                0.48547,                0.36618,                0.54298,                0.86189,                0.00406,                0.00406,                0.00406
                     63,                0.47816,                0.50175,                0.50868,                0.93743,                0.85016,                0.92405,                0.89647,                0.79083,                0.86737,                0.92492,                0.90184,                0.74119,                0.48072,                0.34435,                0.56694,                0.86584,               0.003961,               0.003961,               0.003961
                     64,                0.47458,                0.48492,                0.50463,                0.93242,                0.87022,                0.90043,                0.88624,                 0.7859,                 0.8818,                   0.91,                0.89169,                0.73501,                0.48786,                0.35898,                0.53951,                0.86911,               0.003862,               0.003862,               0.003862
                     65,                 0.4591,                0.47167,                0.50225,                0.92727,                 0.8694,                0.90345,                0.90359,                0.80346,                0.87749,                0.90714,                  0.908,                0.74777,                 0.4817,                0.36541,                0.53966,                0.85794,               0.003763,               0.003763,               0.003763
                     66,                 0.4655,                0.49581,                0.49675,                  0.927,                0.86469,                0.91292,                0.90174,                0.80462,                0.87424,                0.92361,                0.90645,                0.74027,                0.46493,                0.41314,                0.52389,                0.85463,               0.003664,               0.003664,               0.003664
                     67,                0.46577,                0.48318,                0.49664,                0.92925,                 0.8361,                0.91095,                0.89493,                0.79859,                0.84659,                0.92238,                 0.9017,                0.74011,                0.47555,                 0.3673,                0.55359,                0.86148,               0.003565,               0.003565,               0.003565
                     68,                0.45207,                0.48135,                0.48401,                0.92303,                0.86595,                0.90436,                0.90346,                0.80685,                0.87147,                   0.91,                0.90332,                0.74499,                 0.4676,                0.43769,                0.53835,                0.85312,               0.003466,               0.003466,               0.003466
                     69,                0.45211,                0.45748,                0.48107,                0.93002,                0.87401,                0.91175,                0.89943,                0.80753,                 0.8886,                0.92429,                0.90492,                0.74564,                0.47375,                 0.3876,                0.53209,                0.85425,               0.003367,               0.003367,               0.003367
                     70,                0.45675,                0.46513,                0.48745,                0.92572,                0.89225,                0.89143,                0.90385,                0.81141,                0.87917,                0.91714,                0.90485,                0.74708,                0.47924,                0.36505,                0.52321,                0.85614,               0.003268,               0.003268,               0.003268
                     71,                0.45192,                0.46692,                0.47657,                0.92158,                0.87831,                0.91143,                0.91576,                0.81448,                0.89925,                0.90714,                0.92165,                0.76019,                0.45933,                0.35043,                0.51314,                0.85024,               0.003169,               0.003169,               0.003169
                     72,                0.44422,                0.47634,                0.48337,                0.92426,                 0.8965,                0.89286,                0.90323,                0.80725,                0.91101,                0.90668,                0.90978,                0.74811,                0.46784,                0.35104,                0.51278,                0.85305,                0.00307,                0.00307,                0.00307
                     73,                0.43912,                0.46989,                0.47048,                0.92298,                0.86243,                0.91571,                0.90791,                0.80668,                0.89428,                0.90143,                 0.9153,                0.74716,                0.47473,                0.37364,                0.51396,                0.86416,               0.002971,               0.002971,               0.002971
                     74,                0.44334,                0.47326,                 0.4682,                0.91622,                0.87786,                0.91384,                0.91583,                0.81301,                0.87593,                0.92789,                0.92011,                0.76075,                0.46194,                0.35499,                 0.5108,                0.85782,               0.002872,               0.002872,               0.002872
                     75,                0.43432,                 0.4614,                0.45654,                0.91938,                0.87168,                0.91218,                0.90634,                0.81224,                0.88909,                0.91571,                0.90934,                0.75457,                0.47382,                0.35616,                 0.5203,                0.85696,               0.002773,               0.002773,               0.002773
                     76,                0.43321,                0.45262,                 0.4521,                0.91457,                0.87505,                0.92039,                0.91151,                0.81225,                0.87644,                0.93429,                0.92001,                0.76098,                0.46396,                 0.3697,                0.50479,                0.85694,               0.002674,               0.002674,               0.002674
                     77,                0.42693,                0.45628,                0.45034,                0.91362,                0.87218,                0.90857,                0.90436,                0.80435,                0.89325,                0.90854,                0.90998,                 0.7544,                0.46072,                0.41551,                0.50066,                0.85874,               0.002575,               0.002575,               0.002575
                     78,                0.42229,                0.45877,                0.45037,                0.90954,                0.87342,                0.90688,                0.90997,                0.81564,                0.87923,                0.91526,                0.91721,                0.75814,                0.46382,                0.38721,                0.51755,                0.85692,               0.002476,               0.002476,               0.002476
                     79,                 0.4248,                0.46318,                0.44864,                0.91167,                0.86996,                0.90714,                0.90151,                0.80678,                0.88018,                0.91857,                0.90803,                0.74929,                0.46888,                0.35486,                0.53482,                0.85778,               0.002377,               0.002377,               0.002377
                     80,                0.42722,                0.44948,                0.45505,                0.91706,                0.86429,                0.90069,                0.91325,                0.81227,                0.87808,                0.91429,                 0.9166,                0.75669,                 0.4617,                0.35501,                0.49904,                0.85983,               0.002278,               0.002278,               0.002278
                     81,                0.42876,                0.45436,                 0.4495,                 0.9196,                0.87101,                0.91286,                0.90335,                0.81504,                0.87491,                   0.92,                0.90805,                0.74849,                0.45327,                0.35459,                0.50427,                 0.8497,               0.002179,               0.002179,               0.002179
                     82,                0.42355,                0.46018,                0.45064,                 0.9165,                0.86354,                0.92213,                0.90938,                0.81401,                0.87346,                0.92696,                0.91369,                0.75445,                0.45764,                 0.3442,                0.51598,                0.84843,                0.00208,                0.00208,                0.00208
